Gen 0 | Fitness: 3000.0
Gen 10 | Fitness: 3000.0
Gen 20 | Fitness: 3000.0
Gen 30 | Fitness: 3000.0
Gen 40 | Fitness: 3000.0
Gen 50 | Fitness: 3000.0
Gen 60 | Fitness: 3000.0
Gen 70 | Fitness: 3000.0
Gen 80 | Fitness: 3000.0
Gen 90 | Fitness: 3000.0
Gen 100 | Fitness: 3000.0
Gen 110 | Fitness: 3000.0
Gen 120 | Fitness: 3000.0
Gen 130 | Fitness: 3000.0
Gen 140 | Fitness: 3000.0
Gen 150 | Fitness: 3000.0
Gen 160 | Fitness: 3000.0
Gen 170 | Fitness: 3000.0
Gen 180 | Fitness: 3000.0
Gen 190 | Fitness: 3000.0
Gen 200 | Fitness: 3000.0
Gen 210 | Fitness: 3000.0
Gen 220 | Fitness: 3000.0
Gen 230 | Fitness: 3000.0
Gen 240 | Fitness: 3000.0
Gen 250 | Fitness: 3000.0
Gen 260 | Fitness: 3000.0
Gen 270 | Fitness: 3000.0
Gen 280 | Fitness: 3000.0
Gen 290 | Fitness: 3000.0
Gen 300 | Fitness: 3000.0
Gen 310 | Fitness: 3000.0
Gen 320 | Fitness: 3000.0
Gen 330 | Fitness: 3000.0
Gen 340 | Fitness: 3000.0
Gen 350 | Fitness: 3000.0
Gen 360 | Fitness: 3000.0
Gen 370 | Fitness: 3000.0
Gen 380 | Fitness: 3000.0
Gen 390 | Fitness: 3000.0
Gen 400 | Fitness: 3000.0
Gen 410 | Fitness: 3000.0
Gen 420 | Fitness: 3000.0
Gen 430 | Fitness: 3000.0
Gen 440 | Fitness: 3000.0
Gen 450 | Fitness: 3000.0
Gen 460 | Fitness: 3000.0
Gen 470 | Fitness: 3000.0
Gen 480 | Fitness: 3000.0
Gen 490 | Fitness: 3000.0
Gen 500 | Fitness: 3000.0
Gen 510 | Fitness: 3000.0
Gen 520 | Fitness: 3000.0
Gen 530 | Fitness: 3000.0
Gen 540 | Fitness: 3000.0
Gen 550 | Fitness: 3000.0
Gen 560 | Fitness: 3000.0
Gen 570 | Fitness: 3000.0
Gen 580 | Fitness: 3000.0
Gen 590 | Fitness: 3000.0
Gen 600 | Fitness: 3000.0
Gen 610 | Fitness: 3000.0
Gen 620 | Fitness: 3000.0
Gen 630 | Fitness: 3000.0
Gen 640 | Fitness: 3000.0
Gen 650 | Fitness: 3000.0
Gen 660 | Fitness: 3000.0
Gen 670 | Fitness: 3000.0
Gen 680 | Fitness: 3000.0
Gen 690 | Fitness: 3000.0
Gen 700 | Fitness: 3000.0
Gen 710 | Fitness: 3000.0
Gen 720 | Fitness: 3000.0
Gen 730 | Fitness: 3000.0
Gen 740 | Fitness: 3000.0
Gen 750 | Fitness: 3000.0
Gen 760 | Fitness: 3000.0
Gen 770 | Fitness: 3000.0
Gen 780 | Fitness: 3000.0
Gen 790 | Fitness: 3000.0
Gen 800 | Fitness: 3000.0
Gen 810 | Fitness: 3000.0
Gen 820 | Fitness: 3000.0
Gen 830 | Fitness: 3000.0
Gen 840 | Fitness: 3000.0
Gen 850 | Fitness: 3000.0
Gen 860 | Fitness: 3000.0
Gen 870 | Fitness: 3000.0
Gen 880 | Fitness: 3000.0
Gen 890 | Fitness: 3000.0
Gen 900 | Fitness: 3000.0
Gen 910 | Fitness: 3000.0
Gen 920 | Fitness: 3000.0
Gen 930 | Fitness: 3000.0
Gen 940 | Fitness: 3000.0
Gen 950 | Fitness: 3000.0
Gen 960 | Fitness: 3000.0
Gen 970 | Fitness: 3000.0
Gen 980 | Fitness: 3000.0
Gen 990 | Fitness: 3000.0
Elite weights saved to v67_elite_weights.bin!
